observation_date,CCUSMA02TRA618N
1957-01-01,0.000003380000000000000
1958-01-01,0.000005727916666600000
1959-01-01,0.000009014999999999999
1960-01-01,0.000009017083333300000
1961-01-01,0.000009020000000000000
1962-01-01,0.000009020000000000000
1963-01-01,0.000009020000000000000
1964-01-01,0.000009040000000000000
1965-01-01,0.000009040000000000000
1966-01-01,0.000009040000000000000
1967-01-01,0.000009040000000000000
1968-01-01,0.000009040000000000000
1969-01-01,0.000009040000000000000
1970-01-01,0.000011481666666600001
1971-01-01,0.000014841666666600001
1972-01-01,0.000014200000000000000
1973-01-01,0.000014000000000000000
1974-01-01,0.000014000000000000000
1975-01-01,0.000014302579365000001
1976-01-01,0.000015781150009399999
1977-01-01,0.000017828030303000001
1978-01-01,0.000024041666666599999
1979-01-01,0.000037533730158700003
1980-01-01,0.000076041635689100005
1981-01-01,0.000110171387823900001
1982-01-01,0.000160749482950599991
1983-01-01,0.000223669187211399990
1984-01-01,0.000363461434126400012
1985-01-01,0.000519567153522800017
1986-01-01,0.000669033211724899958
1987-01-01,0.000854613712292499991
1988-01-01,0.001421417333703899923
1989-01-01,0.002119961203498200129
1990-01-01,0.002606437371227799879
1991-01-01,0.004168872099253400319
1992-01-01,0.006860541207494100409
1993-01-01,0.010964445593434299711
1994-01-01,0.029778148070825100069
1995-01-01,0.045738439529612900936
1996-01-01,0.081281004197706105407
1997-01-01,0.151594914155448012849
1998-01-01,0.260472600898738915198
1999-01-01,0.418984027455454988154
2000-01-01,0.624325301685332068047
2001-01-01,1.228268606234450111003
2002-01-01,1.512342206402040201141
2003-01-01,1.502541585405299917610
2004-01-01,1.425995399167139909835
2005-01-01,1.341297642417969893103
2006-01-01,1.429954416290229790576
2007-01-01,1.299885483483909975888
2008-01-01,1.298778228950999924507
2009-01-01,1.546869256462139796682
2010-01-01,1.498963981899740005588
2011-01-01,1.671657581874649523002
2012-01-01,1.791603692672060210711
2013-01-01,1.904529090909089950046
2014-01-01,2.189009703243620208468
2015-01-01,2.722965806982870162756
2016-01-01,3.022456816613339647404
2017-01-01,3.648570356123350233446
2018-01-01,4.839664754297630544499
2019-01-01,5.676494833192168520952
2020-01-01,7.016607327467220045492
2021-01-01,8.861475975751298861383
2022-01-01,16.563191049077698124847
2023-01-01,23.785077214850396387646
2024-01-01,32.830292687903877890676
