observation_date,CPALTT01TRA657N
1956-01-01,14.5161290322580996
1957-01-01,11.6350275566441983
1958-01-01,12.3971475589686992
1959-01-01,26.6471449487554963
1960-01-01,5.6647398843930485
1961-01-01,3.1728665207877897
1962-01-01,3.8882997525627201
1963-01-01,6.3627084042190800
1964-01-01,1.1196417146513400
1965-01-01,4.5555204049351605
1966-01-01,8.4720121028744195
1967-01-01,13.9748953974896004
1968-01-01,6.0462455431755107
1969-01-01,4.9241964827168099
1970-01-01,7.9239394289677696
1971-01-01,19.0114068441063964
1972-01-01,15.4164604238851002
1973-01-01,13.9381652306133006
1974-01-01,23.8981658910483965
1975-01-01,21.2273530711444991
1976-01-01,17.4556887046066009
1977-01-01,25.9853363333075009
1978-01-01,61.8970640309145992
1979-01-01,63.5430831994066025
1980-01-01,94.2608604638992773
1981-01-01,37.6147914895655049
1982-01-01,29.1375115905278967
1983-01-01,31.3902711485731984
1984-01-01,48.3923326634719047
1985-01-01,44.9617167560811026
1986-01-01,34.6100778981861978
1987-01-01,38.8558494111617136
1988-01-01,68.8096367499328920
1989-01-01,63.2725527831093970
1990-01-01,60.3038852642096970
1991-01-01,65.9785498212484924
1992-01-01,70.0761048457467979
1993-01-01,66.0938464036370021
1994-01-01,105.2150040282389938
1995-01-01,89.1133087495809946
1996-01-01,80.4121426988699000
1997-01-01,85.6693687054777939
1998-01-01,84.6413356970868023
1999-01-01,64.8674792029406007
2000-01-01,54.9153824089286076
2001-01-01,54.4001840365155047
2002-01-01,44.9641235479985042
2003-01-01,21.6024370406172004
2004-01-01,8.5982616811526587
2005-01-01,8.1791603680199909
2006-01-01,9.5972421228844187
2007-01-01,8.7561809097263605
2008-01-01,10.4441283764885995
2009-01-01,6.2509766309062194
2010-01-01,8.5664442055297414
2011-01-01,6.4718796711510000
2012-01-01,8.8915699651216311
2013-01-01,7.4930903054770015
2014-01-01,8.8545727136431704
2015-01-01,7.6708536484588095
2016-01-01,7.7751341532833216
2017-01-01,11.1443110840763993
2018-01-01,16.3324638988928008
2019-01-01,15.1768215720023019
2020-01-01,12.2789574462573992
2021-01-01,19.5964926913323971
2022-01-01,72.3088359891206096
2023-01-01,53.8594087593315010
